# Time_stamp_start,Duration,Year,month,day,hour,min,second,num_of_detec_st,FG3S,FG8S,FG10S,FG11S,FG12S,FG13S,FG14S,FG16S
1521086023,1050,2018,3,15,3,53,43,1,0,1,0,0,0,0,0,0
1538370746,1141,2018,10,1,5,12,26,2,1,0,0,0,1,0,0,0
1538379396,3311,2018,10,1,7,36,36,2,1,0,0,0,1,0,0,0
1538985825,1060,2018,10,8,8,3,45,3,1,1,0,0,1,0,0,0
1538992715,930,2018,10,8,9,58,35,4,1,1,0,0,1,1,0,0
1539107693,720,2018,10,9,17,54,53,2,1,0,0,0,1,0,0,0
1542265973,2360,2018,11,15,7,12,53,3,1,1,0,0,1,0,0,0
1542268643,7720,2018,11,15,7,57,23,2,1,0,0,0,1,0,0,0
1542277791,1213,2018,11,15,10,29,51,4,1,1,0,0,1,1,0,0
1542279855,878,2018,11,15,11,4,15,2,1,0,0,0,1,0,0,0
1542285125,1178,2018,11,15,12,32,5,2,1,0,0,0,1,0,0,0
1542288623,2522,2018,11,15,13,30,23,2,1,0,0,0,1,0,0,0
1542299975,1050,2018,11,15,16,39,35,2,1,0,0,0,1,0,0,0
1542302165,1390,2018,11,15,17,16,5,2,1,0,0,0,1,0,0,0
1542305655,4910,2018,11,15,18,14,15,2,1,0,0,0,1,0,0,0
1542311545,1068,2018,11,15,19,52,25,2,1,0,0,0,1,0,0,0
1542318055,1368,2018,11,15,21,40,55,2,1,0,0,0,1,0,0,0
1542336363,1102,2018,11,16,2,46,3,2,1,0,0,0,1,0,0,0
1542340723,1200,2018,11,16,3,58,43,2,1,0,0,0,1,0,0,0
1542347243,690,2018,11,16,5,47,23,2,1,0,0,0,1,0,0,0
1542356255,1418,2018,11,16,8,17,35,2,1,0,0,0,1,0,0,0
1542360733,722,2018,11,16,9,32,13,2,1,0,0,0,1,0,0,0
1542366403,1090,2018,11,16,11,6,43,2,1,0,0,0,1,0,0,0
1542369903,2872,2018,11,16,12,5,3,2,1,0,0,0,1,0,0,0
1542385793,642,2018,11,16,16,29,53,2,1,0,0,0,1,0,0,0
1542387183,932,2018,11,16,16,53,3,2,1,0,0,0,1,0,0,0
1542390615,698,2018,11,16,17,50,15,2,1,0,0,0,1,0,0,0
1542396235,700,2018,11,16,19,23,55,2,1,0,0,0,1,0,0,0
